Thermo RheoWin  13.01.2000 / 10:13

Datum: 13.01.2000 Zeit: 10:09:50 

Nr-Seg;t in s;t_seg in s;Tau in Pa;T in °C;Eta in Pas;
1|97;85,80; ;0,762;24,28;0,00254;
1|98;86,80; ;0,727;24,28;0,00242;
1|99;87,67; ;0,727;24,28;0,00243;
1|100;88,52; ;0,780;24,28;0,00261;
1|101;89,09; ;0,727;24,28;0,00242;
1|102;89,86; ;0,745;24,28;0,00249;
1|103;90,84; ;0,762;24,28;0,00255;
1|104;91,86; ;0,780;24,28;0,00260;
1|105;93,16; ;0,762;24,28;0,00255;
1|106;93,83; ;0,727;24,28;0,00243;
1|107;94,83; ;0,727;24,28;0,00243;
1|108;95,70; ;0,762;24,28;0,00255;
1|109;96,55; ;0,762;24,28;0,00254;
1|110;97,12; ;0,744;24,28;0,00249;
1|111;98,02; ;0,762;24,29;0,00255;
1|112;98,92; ;0,762;24,29;0,00254;
1|113;99,94; ;0,744;24,29;0,00248;
1|114;100,9; ;0,727;24,29;0,00242;
1|115;101,7; ;0,762;24,29;0,00255;
1|116;102,7; ;0,780;24,29;0,00261;
1|117;103,6; ;0,744;24,28;0,00248;
1|118;104,5; ;0,727;24,28;0,00242;
1|119;105,1; ;0,780;24,28;0,00261;
1|120;106,7; ;0,762;24,28;0,00255;
1|121;107,3; ;0,762;24,28;0,00254;
1|122;107,8; ;0,762;24,28;0,00255;
1|123;108,2; ;0,727;24,28;0,00242;
1|124;109,2; ;0,727;24,28;0,00242;
1|125;110,2; ;0,727;24,28;0,00243;
1|126;111,1; ;0,762;24,22;0,00255;
1|127;112,0; ;0,780;24,22;0,00260;
1|128;112,9; ;0,727;24,22;0,00242;
