Thermo RheoWin  13.01.2000 / 10:13

Datum: 13.01.2000 Zeit: 10:09:50 

Nr-Seg;t in s;t_seg in s;Tau in Pa;T in °C;Eta in Pas;
1|1;0,782; ;8,804;24,21;4,95;
1|2;2,641; ;0,605;24,21;0,00207;
1|3;3,110; ;0,638;24,21;0,00213;
1|4;4,047; ;0,744;24,21;0,00247;
1|5;5,047; ;0,762;24,21;0,00254;
1|6;5,969; ;0,727;24,20;0,00242;
1|7;6,860; ;0,745;24,20;0,00249;
1|8;7,860; ;0,780;24,20;0,00261;
1|9;8,766; ;0,762;24,22;0,00254;
1|10;10,00; ;0,780;24,22;0,00260;
1|11;10,83; ;0,727;24,22;0,00242;
1|12;11,70; ;0,745;24,21;0,00249;
1|13;12,56; ;0,780;24,21;0,00261;
1|14;13,14; ;0,744;24,21;0,00248;
1|15;13,91; ;0,745;24,21;0,00249;
1|16;14,87; ;0,780;24,21;0,00261;
1|17;15,91; ;0,780;24,21;0,00260;
1|18;16,81; ;0,727;24,20;0,00242;
1|19;17,67; ;0,727;24,20;0,00243;
1|20;18,67; ;0,762;24,20;0,00255;
1|21;19,55; ;0,780;24,27;0,00260;
1|22;20,42; ;0,744;24,27;0,00248;
1|23;21,02; ;0,780;24,27;0,00261;
1|24;21,78; ;0,780;24,27;0,00260;
1|25;23,16; ;0,780;24,27;0,00261;
1|26;23,99; ;0,744;24,27;0,00248;
1|27;24,87; ;0,727;24,28;0,00243;
1|28;25,75; ;0,745;24,28;0,00249;
1|29;26,75; ;0,780;24,28;0,00261;
1|30;27,62; ;0,744;24,28;0,00248;
1|31;28,52; ;0,727;24,28;0,00242;
1|32;29,11; ;0,762;24,28;0,00255;
1|33;29,87; ;0,744;24,27;0,00248;
1|34;30,86; ;0,727;24,27;0,00242;
1|35;31,87; ;0,727;24,27;0,00243;
1|36;32,78; ;0,780;24,27;0,00261;
1|37;33,62; ;0,780;24,27;0,00260;
1|38;34,64; ;0,727;24,27;0,00242;
1|39;35,50; ;0,744;24,28;0,00249;
1|40;36,75; ;0,727;24,28;0,00243;
1|41;37,53; ;0,780;24,28;0,00261;
1|42;38,00; ;0,744;24,28;0,00249;
1|43;38,83; ;0,745;24,28;0,00249;
1|44;39,83; ;0,780;24,28;0,00261;
1|45;40,69; ;0,744;24,28;0,00248;
1|46;41,55; ;0,727;24,28;0,00242;
1|47;42,12; ;0,762;24,28;0,00255;
1|48;42,89; ;0,744;24,27;0,00248;
1|49;43,86; ;0,727;24,27;0,00243;
1|50;44,87; ;0,745;24,27;0,00249;
1|51;45,78; ;0,780;24,28;0,00261;
1|52;46,64; ;0,780;24,28;0,00260;
1|53;47,64; ;0,727;24,28;0,00242;
1|54;48,52; ;0,744;24,21;0,00249;
1|55;49,36; ;0,780;24,21;0,00261;
1|56;49,94; ;0,727;24,21;0,00242;
1|57;51,11; ;0,727;24,28;0,00242;
1|58;51,91; ;0,745;24,28;0,00249;
1|59;52,91; ;0,780;24,28;0,00261;
1|60;53,81; ;0,762;24,27;0,00254;
1|61;54,67; ;0,744;24,27;0,00248;
1|62;55,67; ;0,727;24,27;0,00243;
1|63;56,55; ;0,780;24,27;0,00261;
1|64;57,39; ;0,762;24,27;0,00254;
1|65;57,97; ;0,762;24,27;0,00255;
1|66;58,75; ;0,780;24,27;0,00261;
1|67;59,74; ;0,780;24,27;0,00260;
1|68;60,75; ;0,726;24,27;0,00242;
1|69;61,61; ;0,744;24,28;0,00249;
1|70;62,49; ;0,780;24,28;0,00261;
1|71;63,06; ;0,726;24,28;0,00242;
1|72;64,67; ;0,744;24,28;0,00248;
1|73;65,33; ;0,727;24,28;0,00243;
1|74;65,78; ;0,744;24,28;0,00248;
1|75;66,16; ;0,762;24,28;0,00255;
1|76;67,22; ;0,745;24,28;0,00249;
1|77;68,22; ;0,780;24,28;0,00261;
1|78;69,12; ;0,744;24,27;0,00248;
1|79;70,00; ;0,727;24,27;0,00242;
1|80;71,00; ;0,727;24,27;0,00243;
1|81;71,91; ;0,762;24,28;0,00255;
1|82;72,78; ;0,780;24,28;0,00260;
1|83;73,78; ;0,727;24,28;0,00242;
1|84;74,64; ;0,727;24,28;0,00243;
1|85;75,49; ;0,762;24,28;0,00255;
1|86;76,06; ;0,727;24,28;0,00242;
1|87;76,83; ;0,745;24,29;0,00249;
1|88;78,66; ;0,726;24,29;0,00242;
1|89;78,94; ;0,762;24,29;0,00254;
1|90;79,72; ;0,744;24,22;0,00248;
1|91;80,69; ;0,727;24,22;0,00242;
1|92;81,59; ;0,762;24,22;0,00255;
1|93;82,06; ;0,727;24,28;0,00242;
1|94;83,00; ;0,727;24,28;0,00243;
1|95;83,92; ;0,762;24,28;0,00255;
1|96;84,92; ;0,780;24,28;0,00261;
