Thermo RheoWin  13.01.2000 / 10:22

Datum: 13.01.2000 Zeit: 10:19:47 

Nr-Seg;t in s;t_seg in s;Tau in Pa;T in °C;Eta in Pas;
1|99;85,19; ;0,639;24,31;0,00214;
1|100;86,06; ;0,674;24,31;0,00225;
1|101;87,06; ;0,656;24,31;0,00218;
1|102;87,94; ;0,603;24,31;0,00201;
1|103;88,78; ;0,639;24,31;0,00214;
1|104;89,37; ;0,621;24,31;0,00207;
1|105;90,26; ;0,621;24,30;0,00207;
1|106;91,98; ;0,638;24,30;0,00213;
1|107;92,26; ;0,674;24,30;0,00226;
1|108;93,03; ;0,674;24,31;0,00224;
1|109;94,00; ;0,656;24,31;0,00218;
1|110;95,00; ;0,621;24,31;0,00207;
1|111;95,87; ;0,656;24,31;0,00220;
1|112;96,75; ;0,674;24,31;0,00225;
1|113;97,33; ;0,638;24,31;0,00213;
1|114;98,11; ;0,656;24,31;0,00220;
1|115;99,08; ;0,674;24,31;0,00225;
1|116;100,1; ;0,656;24,31;0,00218;
1|117;101,0; ;0,620;24,30;0,00207;
1|118;101,8; ;0,656;24,30;0,00220;
1|119;102,4; ;0,620;24,30;0,00206;
1|120;103,2; ;0,621;24,31;0,00207;
1|121;105,0; ;0,638;24,31;0,00213;
1|122;105,3; ;0,674;24,31;0,00226;
1|123;106,0; ;0,673;24,31;0,00224;
1|124;107,0; ;0,656;24,31;0,00218;
1|125;108,0; ;0,621;24,31;0,00207;
1|126;108,9; ;0,656;24,32;0,00220;
1|127;109,7; ;0,674;24,32;0,00225;
