Thermo RheoWin  13.01.2000 / 10:22

Datum: 13.01.2000 Zeit: 10:19:47 

Nr-Seg;t in s;t_seg in s;Tau in Pa;T in °C;Eta in Pas;
1|1;1,093; ;0,971;24,30;0,00409;
1|2;1,765; ;0,371;24,30;0,00121;
1|3;2,250; ;1,066;24,31;0,00374;
1|4;3,125; ;0,673;24,31;0,00222;
1|5;4,093; ;0,638;24,31;0,00212;
1|6;4,968; ;0,638;24,31;0,00213;
1|7;5,797; ;0,638;24,31;0,00213;
1|8;6,390; ;0,621;24,31;0,00207;
1|9;7,156; ;0,621;24,32;0,00207;
1|10;8,953; ;0,656;24,32;0,00219;
1|11;9,234; ;0,692;24,32;0,00232;
1|12;10,00; ;0,691;24,31;0,00231;
1|13;10,98; ;0,673;24,31;0,00224;
1|14;11,98; ;0,620;24,31;0,00207;
1|15;12,86; ;0,656;24,32;0,00220;
1|16;13,73; ;0,691;24,32;0,00231;
1|17;14,31; ;0,638;24,32;0,00213;
1|18;15,08; ;0,656;24,32;0,00220;
1|19;16,05; ;0,674;24,32;0,00225;
1|20;17,05; ;0,656;24,32;0,00218;
1|21;17,91; ;0,620;24,32;0,00207;
1|22;18,75; ;0,656;24,32;0,00220;
1|23;19,33; ;0,620;24,32;0,00206;
1|24;20,14; ;0,621;24,35;0,00207;
1|25;21,95; ;0,638;24,35;0,00213;
1|26;22,22; ;0,674;24,35;0,00226;
1|27;23,12; ;0,674;24,33;0,00225;
1|28;23,95; ;0,638;24,33;0,00212;
1|29;24,92; ;0,638;24,33;0,00213;
1|30;25,31; ;0,638;24,33;0,00213;
1|31;26,16; ;0,603;24,33;0,00201;
1|32;27,08; ;0,639;24,33;0,00214;
1|33;27,98; ;0,656;24,34;0,00219;
1|34;28,95; ;0,656;24,34;0,00219;
1|35;29,91; ;0,603;24,34;0,00200;
1|36;30,30; ;0,656;24,32;0,00220;
1|37;31,16; ;0,638;24,32;0,00212;
1|38;32,22; ;0,603;24,32;0,00201;
1|39;33,08; ;0,621;24,32;0,00208;
1|40;33,91; ;0,656;24,32;0,00219;
1|41;34,39; ;0,638;24,32;0,00213;
1|42;35,16; ;0,638;24,31;0,00214;
1|43;36,26; ;0,656;24,31;0,00219;
1|44;37,28; ;0,656;24,31;0,00218;
1|45;38,92; ;0,656;24,31;0,00220;
1|46;39,56; ;0,620;24,31;0,00206;
1|47;40,03; ;0,656;24,31;0,00220;
1|48;40,41; ;0,603;24,31;0,00201;
1|49;41,45; ;0,603;24,31;0,00202;
1|50;42,45; ;0,639;24,31;0,00214;
1|51;43,36; ;0,656;24,32;0,00219;
1|52;44,25; ;0,638;24,32;0,00212;
1|53;45,25; ;0,603;24,32;0,00201;
1|54;46,16; ;0,603;24,31;0,00202;
1|55;47,06; ;0,638;24,31;0,00214;
1|56;48,06; ;0,656;24,31;0,00219;
1|57;48,94; ;0,603;24,25;0,00200;
1|58;49,78; ;0,603;24,25;0,00202;
1|59;50,36; ;0,621;24,25;0,00207;
1|60;51,12; ;0,603;24,31;0,00201;
1|61;52,95; ;0,638;24,31;0,00213;
1|62;53,23; ;0,656;24,31;0,00220;
1|63;54,01; ;0,656;24,31;0,00219;
1|64;55,00; ;0,656;24,31;0,00218;
1|65;56,01; ;0,620;24,31;0,00206;
1|66;56,87; ;0,621;24,32;0,00208;
1|67;57,73; ;0,656;24,32;0,00220;
1|68;58,33; ;0,603;24,32;0,00201;
1|69;59,08; ;0,621;24,31;0,00208;
1|70;60,06; ;0,656;24,31;0,00220;
1|71;61,06; ;0,656;24,31;0,00219;
1|72;61,94; ;0,620;24,31;0,00206;
1|73;62,80; ;0,621;24,31;0,00208;
1|74;63,39; ;0,621;24,31;0,00207;
1|75;64,16; ;0,603;24,31;0,00201;
1|76;65,97; ;0,638;24,31;0,00213;
1|77;66,25; ;0,674;24,31;0,00226;
1|78;67,00; ;0,674;24,31;0,00225;
1|79;67,97; ;0,656;24,31;0,00218;
1|80;68,97; ;0,603;24,31;0,00201;
1|81;69,84; ;0,639;24,31;0,00214;
1|82;70,72; ;0,674;24,31;0,00226;
1|83;71,30; ;0,620;24,31;0,00207;
1|84;72,06; ;0,639;24,31;0,00214;
1|85;73,03; ;0,674;24,31;0,00225;
1|86;74,03; ;0,656;24,31;0,00218;
1|87;74,89; ;0,603;24,31;0,00201;
1|88;75,75; ;0,638;24,31;0,00214;
1|89;76,33; ;0,603;24,31;0,00201;
1|90;77,09; ;0,603;24,31;0,00201;
1|91;78,91; ;0,620;24,31;0,00207;
1|92;79,17; ;0,674;24,31;0,00226;
1|93;79,44; ;0,638;24,31;0,00213;
1|94;80,50; ;0,621;24,31;0,00208;
1|95;81,50; ;0,656;24,31;0,00220;
1|96;82,41; ;0,674;24,31;0,00225;
1|97;83,28; ;0,638;24,31;0,00212;
1|98;84,28; ;0,603;24,31;0,00201;
