Thermo RheoWin  07.01.2000 / 15:23

Firma: MIMED Bearbeiter: hiwi
Datum: 07.01.2000 Zeit: 15:19:01 Version: HAAKE RheoWin 3.61.0004
Substanz: A35 Chargennummer: 

Nr-Seg;t in s;t_seg in s;Tau in Pa;Eta in Pas;T in °C;
1|1;1.156;0.281;0.995;0.002739;22.50;
1|2;2.719;1.844;1.345;0.004436;22.50;
1|3;4.234;3.359;1.398;0.004661;22.51;
1|4;5.672;4.797;1.434;0.004794;22.51;
1|5;7.047;6.172;1.434;0.004806;22.51;
1|6;8.484;7.609;1.416;0.004739;22.50;
1|7;10.06;9.187;1.345;0.004470;22.51;
1|8;11.70;10.83;1.416;0.004743;22.51;
1|9;13.05;12.17;1.399;0.004681;22.51;
1|10;14.78;13.91;1.328;0.004417;22.51;
1|11;16.19;15.31;1.399;0.004671;22.51;
1|12;17.61;16.73;1.416;0.004741;22.51;
1|13;19.47;18.59;1.345;0.004481;22.50;
1|14;20.84;19.97;1.345;0.004482;22.52;
1|15;22.09;21.22;1.398;0.004659;22.52;
1|16;23.76;22.89;1.416;0.004741;22.51;
1|17;25.16;24.28;1.381;0.004605;22.52;
1|18;26.84;25.97;1.381;0.004606;22.51;
1|19;28.41;27.53;1.434;0.004794;22.52;
1|20;29.78;28.91;1.452;0.004857;22.52;
1|21;31.50;30.62;1.398;0.004656;22.52;
1|22;32.81;31.94;1.398;0.004665;22.52;
1|23;34.58;33.70;1.416;0.004732;22.53;
1|24;35.97;35.09;1.452;0.004852;22.52;
1|25;37.81;36.94;1.416;0.004729;22.53;
1|26;38.92;38.05;1.469;0.004909;22.53;
1|27;40.51;39.64;1.398;0.004665;22.52;
1|28;41.86;40.98;1.398;0.004654;22.53;
1|29;43.64;42.76;1.469;0.004920;22.52;
1|30;44.89;44.01;1.452;0.004867;22.53;
1|31;46.67;45.80;1.398;0.004651;22.53;
1|32;47.92;47.05;1.398;0.004648;22.53;
1|33;49.58;48.70;1.505;0.005040;22.53;
1|34;50.92;50.05;1.452;0.004858;22.53;
1|35;52.78;51.91;1.363;0.004532;22.53;
1|36;54.00;53.12;1.381;0.004595;22.53;
1|37;55.42;54.55;1.434;0.004788;22.53;
1|38;57.03;56.16;1.469;0.004920;22.53;
1|39;58.47;57.59;1.434;0.004784;22.53;
1|40;60.03;59.16;1.416;0.004717;22.53;
1|41;61.83;60.95;1.452;0.004858;22.53;
1|42;63.08;62.20;1.469;0.004911;22.53;
1|43;64.56;63.69;1.416;0.004713;22.53;
1|44;66.22;65.34;1.487;0.004976;22.54;
1|45;67.66;66.78;1.505;0.005036;22.53;
1|46;69.51;68.64;1.434;0.004778;22.54;
1|47;70.69;69.81;1.434;0.004774;22.54;
1|48;72.14;71.26;1.469;0.004919;22.54;
1|49;73.62;72.75;1.505;0.005035;22.54;
1|50;75.51;74.64;1.451;0.004837;22.54;
1|51;76.69;75.81;1.452;0.004841;22.54;
1|52;78.59;77.72;1.505;0.005033;22.53;
1|53;79.78;78.91;1.540;0.005147;22.54;
1|54;81.19;80.31;1.487;0.004945;22.55;
1|55;82.89;82.01;1.522;0.005095;22.54;
1|56;84.70;83.83;1.469;0.004892;22.54;
1|57;85.81;84.94;1.469;0.004897;22.54;
1|58;87.58;86.70;1.522;0.005090;22.54;
1|59;88.76;87.89;1.487;0.004971;22.54;
1|60;90.78;89.91;1.451;0.004823;22.55;
1|61;91.89;91.01;1.522;0.005065;22.55;
1|62;93.48;92.61;1.540;0.005148;22.54;
1|63;95.09;94.22;1.540;0.005148;22.54;
1|64;96.78;95.91;1.504;0.005013;22.55;
1|65;97.97;97.09;1.469;0.004889;22.55;
1|66;99.61;98.73;1.540;0.005155;22.55;
1|67;101.0;100.1;1.540;0.005152;22.54;
1|68;102.8;102.0;1.522;0.005080;22.55;
1|69;103.9;103.1;1.469;0.004898;22.55;
1|70;105.5;104.6;1.540;0.005157;22.55;
1|71;107.2;106.3;1.469;0.004889;22.55;
1|72;108.6;107.8;1.487;0.004948;22.54;
1|73;110.4;109.5;1.540;0.005153;22.55;
1|74;111.7;110.9;1.522;0.005087;22.55;
1|75;113.5;112.6;1.505;0.005020;22.55;
1|76;114.7;113.8;1.487;0.004958;22.55;
1|77;116.0;115.2;1.505;0.005028;22.55;
1|78;117.7;116.9;1.629;0.005457;22.55;
1|79;119.1;118.2;1.611;0.005381;22.56;
1|80;120.8;119.9;1.505;0.005016;22.55;
1|81;122.2;121.3;1.576;0.005275;22.56;
1|82;123.6;122.7;1.522;0.005083;22.55;
1|83;125.5;124.7;1.575;0.005269;22.56;
1|84;126.7;125.9;1.540;0.005152;22.56;
1|85;128.6;127.8;1.487;0.004948;22.56;
1|86;129.8;129.0;1.504;0.005007;22.55;
1|87;131.4;130.5;1.558;0.005205;22.55;
1|88;132.7;131.9;1.576;0.005278;22.56;
1|89;134.7;133.8;1.504;0.005009;22.55;
1|90;135.9;135.0;1.487;0.004951;22.56;
1|91;137.5;136.6;1.576;0.005278;22.56;
1|92;138.8;138.0;1.576;0.005279;22.55;
1|93;140.6;139.7;1.469;0.004876;22.49;
1|94;141.9;141.0;1.504;0.005008;22.55;
1|95;143.8;142.9;1.540;0.005143;22.55;
1|96;144.9;144.0;1.575;0.005273;22.56;
1|97;146.4;145.6;1.575;0.005263;22.56;
1|98;148.0;147.1;1.575;0.005256;22.56;
1|99;149.6;148.7;1.522;0.005064;22.56;
1|100;151.0;150.1;1.522;0.005070;22.56;
