Thermo RheoWin  07.01.2000 / 15:27

Firma: MIMED Bearbeiter: hiwi
Datum: 07.01.2000 Zeit: 15:24:16 Version: HAAKE RheoWin 3.61.0004
Substanz: A20 Chargennummer: 

Nr-Seg;t in s;t_seg in s;Tau in Pa;Eta in Pas;T in °C;
1|1;1.203;0.266;0.118;0.0003542;22.52;
1|2;2.156;1.219;1.169;0.003913;22.52;
1|3;3.047;2.110;1.205;0.004048;22.52;
1|4;4.000;3.063;1.239;0.004129;22.52;
1|5;5.078;4.141;1.257;0.004196;22.51;
1|6;6.016;5.079;1.257;0.004210;22.51;
1|7;7.250;6.313;1.204;0.004018;22.52;
1|8;8.141;7.204;1.257;0.004213;22.52;
1|9;9.094;8.157;1.204;0.004018;22.53;
1|10;10.06;9.125;1.186;0.003944;22.52;
1|11;11.48;10.55;1.222;0.004073;22.52;
1|12;12.25;11.31;1.186;0.003947;22.53;
1|13;13.14;12.20;1.275;0.004271;22.52;
1|14;14.08;13.14;1.240;0.004148;22.53;
1|15;15.53;14.59;1.240;0.004145;22.53;
1|16;16.59;15.66;1.275;0.004271;22.52;
1|17;17.66;16.72;1.257;0.004209;22.52;
1|18;18.27;17.33;1.186;0.003946;22.53;
1|19;19.14;18.20;1.240;0.004145;22.53;
1|20;20.64;19.70;1.168;0.003885;22.53;
1|21;21.61;20.67;1.204;0.004022;22.53;
1|22;22.53;21.59;1.257;0.004212;22.53;
1|23;23.45;22.52;1.239;0.004143;22.52;
1|24;24.20;23.27;1.204;0.004007;22.53;
1|25;25.62;24.69;1.204;0.004012;22.54;
1|26;26.55;25.61;1.186;0.003948;22.53;
1|27;27.47;26.53;1.240;0.004144;22.52;
1|28;28.77;27.83;1.222;0.004076;22.54;
1|29;29.70;28.77;1.257;0.004210;22.54;
1|30;30.67;29.74;1.257;0.004208;22.53;
1|31;31.62;30.69;1.222;0.004072;22.53;
1|32;32.55;31.61;1.204;0.004007;22.53;
1|33;33.47;32.53;1.239;0.004138;22.54;
1|34;34.81;33.87;1.204;0.004010;22.54;
1|35;35.62;34.69;1.293;0.004329;22.54;
1|36;36.53;35.59;1.275;0.004262;22.53;
1|37;37.89;36.95;1.293;0.004330;22.47;
1|38;38.70;37.77;1.239;0.004132;22.47;
1|39;39.66;38.72;1.222;0.004065;22.47;
1|40;40.62;39.69;1.239;0.004137;22.47;
1|41;41.75;40.81;1.257;0.004200;22.47;
1|42;42.84;41.91;1.275;0.004265;22.47;
1|43;43.66;42.72;1.293;0.004322;22.47;
1|44;44.61;43.67;1.239;0.004129;22.47;
1|45;45.52;44.58;1.239;0.004129;22.47;
1|46;46.87;45.94;1.257;0.004187;22.48;
1|47;47.70;46.77;1.292;0.004318;22.47;
1|48;48.66;47.72;1.328;0.004445;22.48;
1|49;49.62;48.69;1.310;0.004382;22.48;
1|50;50.59;49.66;1.275;0.004252;22.48;
1|51;51.52;50.58;1.257;0.004183;22.47;
1|52;52.87;51.94;1.275;0.004247;22.48;
1|53;53.91;52.97;1.257;0.004184;22.48;
1|54;54.64;53.70;1.328;0.004445;22.48;
1|55;55.69;54.75;1.328;0.004442;22.48;
1|56;56.73;55.80;1.293;0.004320;22.48;
1|57;57.83;56.89;1.328;0.004433;22.48;
1|58;58.66;57.72;1.275;0.004241;22.48;
1|59;59.61;58.67;1.310;0.004376;22.48;
1|60;60.78;59.84;1.346;0.004495;22.49;
1|61;61.87;60.94;1.346;0.004499;22.48;
1|62;62.70;61.77;1.363;0.004558;22.47;
1|63;63.64;62.70;1.328;0.004430;22.47;
1|64;64.61;63.67;1.328;0.004421;22.49;
1|65;65.81;64.87;1.328;0.004422;22.48;
1|66;66.66;65.72;1.363;0.004554;22.49;
1|67;67.62;66.69;1.416;0.004743;22.49;
1|68;68.81;67.87;1.399;0.004683;22.49;
1|69;69.87;68.94;1.416;0.004743;22.54;
1|70;70.69;69.75;1.381;0.004606;22.54;
1|71;71.66;70.72;1.363;0.004536;22.55;
1|72;72.87;71.94;1.363;0.004535;22.55;
1|73;73.80;72.86;1.416;0.004724;22.56;
1|74;74.89;73.95;1.399;0.004671;22.55;
1|75;75.72;74.78;1.434;0.004800;22.55;
1|76;76.94;76.00;1.416;0.004741;22.55;
1|77;77.91;76.97;1.434;0.004795;22.55;
1|78;78.83;77.89;1.469;0.004905;22.55;
1|79;79.84;78.91;1.451;0.004836;22.55;
1|80;81.09;80.16;1.434;0.004769;22.55;
1|81;81.94;81.00;1.540;0.005154;22.56;
1|82;82.89;81.95;1.416;0.004737;22.56;
1|83;84.00;83.06;1.416;0.004744;22.55;
1|84;84.95;84.02;1.398;0.004664;22.55;
1|85;85.92;84.99;1.381;0.004593;22.55;
1|86;86.89;85.95;1.434;0.004779;22.55;
1|87;87.81;86.87;1.469;0.004918;22.56;
1|88;88.86;87.92;1.469;0.004923;22.56;
1|89;90.09;89.16;1.487;0.004981;22.56;
1|90;90.91;89.97;1.416;0.004725;22.56;
1|91;92.03;91.09;1.398;0.004661;22.55;
1|92;92.97;92.03;1.416;0.004710;22.56;
1|93;93.94;93.00;1.469;0.004896;22.55;
1|94;95.02;94.08;1.487;0.004968;22.56;
1|95;95.92;94.99;1.505;0.005043;22.56;
1|96;97.16;96.22;1.523;0.005102;22.56;
1|97;97.98;97.05;1.452;0.004842;22.56;
1|98;98.95;98.02;1.451;0.004826;22.55;
1|99;100.0;99.11;1.451;0.004828;22.56;
1|100;101.0;100.0;1.522;0.005085;22.56;
